COMPOSER,ARRANGER,TITLE,MEDIUM,CATEGORY,SHELF_X,PUBLISHER,DATE_ADDED,PERFORMED
Barber,Hudson,"""The School for Scandal""(Ov)",we,overture,1247,Schirmer,,
Barber,,Commando March,we,march,0236,Schirmer,,
"Barber, Samuel","Custer, Calvin",Adagio for Strings,we,,1450,"G. Shirmer, In",2000/02,
Barker,,Chinese Folk Suite,we,,1253,Jenson,,
Barker,,Juxtaposition,we,,1135,Jenson,,
Barker,,Tango Fandango,we+4 trpt,feature,1155,Jenson,,
Barnhouse,,Ruby Red Mrch,we,march size,0327,Barnhouse,,
Barnhouse,,Wearin' of the Green,we,march size,0328,Barnhouse,,
"Bart, L",Leyden,"""Oliver!""(Selections)",we,broadway,1295,Songways,,
Bartholomew,King,I Hear You Knocking,we,march size,0329,Leonard,,
Bartok,Pharmer,"""For Children"" (Play)",we,elem band,0795,Alfred,,
Bartok,Leidzen,Bear Dance,we,,0010,Associated,,
Bassett,,"Designs, Images & Texture",we,,0637,Peters,,
Bauduc/Haggart,Yoder,South Rampart St Parade,we,march size,0330,Feist,,
Bayes/Norworth,Teague,"Shine on, Harvest Moon",we,march size,0331,Remick,,
"Bayless, S",,Big Beat Time Outs #4,we,march size,0757,KSM,,
"Beck, JN",,Reflection,we,,0624,Elkan-Vogel,,
Beethoven,Smith,Egmont (Mrch),we,,0012,Mercury,,
Beethoven,Winterbottem,Egmont Ov,we,overture,0011,Boosey +Hawkes,,
Beethoven,Barnes,Fidelio Ov,we,overture,0811,Ludwig,,
Beethoven,,Military Mrch,we,,0013,Schirmer,,
Beethoven,Barnes,Prometheus Ov,we,overture,0268,Ludwig,,
Beethoven,Slocum,Prometheus Ov,we,overture,1310,TRN Music,,
Beethoven,Bell-Maltimore,Var on the theme Judas Maccabees,we+solo,,0014,,,
"Bellson, L",,Thundering Drums,we+drumset,feature,0269,Kjos,,
Bellstedt,,Victory Day,we,march size,0332,Fillmore,,
Belsterling,"Alford, H",Mrch of the Steel Men,we,march,0015,Fillmore,,
Bembo,Conley,Melody (Aria),we,elem band,1142,Easy Listening,,
Bencriscutto,,Concertino for tuba + band,we+tuba,feature,1126,Shawnee,,
Bencriscutto,,Sing a New Song (Psalm 96),we,,1091,Kjos,,
"Bender, J",,Music for Reformation Day,we,,0746,Chantry,,
Benjamin,Morgenstern,Jamaican Rumba,we,,0016,Boosey +Hawkes,,
"Bennett, D",,Clar in Residence,we+cl,feature,0977,Southern,,
"Bennett, D",,Clar Polka,we + Clar,feature,0017,Remick,,
"Bennett, D",,From Africa to Harlem,we,,0018,Fischer,,
